"","pac_name_affiliate","country","parent","total","dems","repubs","year"
"1807","Empire District Electric (Algonquin Power & Utilities)","Canada","Algonquin Power & Utilities",4500,0,4500,2018
"1808","Empower Retirement (Power Financial Corp)","Canada","Power Financial Corp",30500,7500,23000,2018
"1809","Enbridge Inc","Canada","Enbridge Inc",120200,21500,92200,2018
"1810","EnCana Oil & Gas USA","Canada","EnCana Corp",24500,7000,17500,2018
"1811","Endo Pharmaceuticals","Ireland","Endo International",88500,26000,62500,2018
"1812","ENGIE North America","France","ENGIE",4500,1000,2500,2018
"1813","Ericsson Inc","Sweden","Telefonaktiebolaget LM Ericsson",12500,2000,10500,2018
"1814","Essent US Holdings","UK","Essent Group",6000,1000,5000,2018
"1815","Experian","UK","Experian",552000,186500,365500,2018
"1816","Farmers Group (Zurich Insurance Group)","Switzerland","Zurich Financial Services AG",348700,103000,245700,2018
"1817","Fincantieri Marinette Marine","Italy","Fincantieri-Cantieri Navali Italiani SpA",19500,6000,13500,2018
"1818","Florida East Coast Industries (SoftBank Corp)","Japan","SoftBank Corp",79000,20500,58500,2018
"1819","Florida East Coast Railway (Grupo Mexico)","Mexico","Grupo Mexico",8780,3640,5140,2018
"1820","FMC Technologies","UK","TechnipFMC plc",-3000,0,-3000,2018
"1821","Framatome (EDF Group)","France","EDF Group",50500,20000,30500,2018
"1822","Fresenius Medical Care North America","Germany","Fresenius Medical Care",323000,149000,174000,2018
"1823","G4S Secure Solutions","UK","G4S plc",15000,5000,10000,2018
"1824","Garmin International (Garmin Ltd)","Switzerland","Garmin Ltd",37400,10500,26900,2018
"1825","GE Appliances","China","Haier Group",24000,4500,19500,2018
"1826","Genentech Inc (Roche Holdings)","Switzerland","Roche Holdings",573000,232000,341000,2018
"1827","General Cigar Co","Sweden","Scandinavian Tobacco Group",0,0,0,2018
"1828","Gerdau Ameristeel Corp","Brazil","Gerdau Inc",8500,5000,3500,2018
"1829","Glanbia Foods (Glanbia PLC)","Ireland","Glanbia PLC",750,0,750,2018
"1830","GlaxoSmithKline","UK","GlaxoSmithKline",320250,138500,181750,2018
"1831","Glover Park Group (WPP Group)","UK","WPP Group",143200,94700,48000,2018
"1832","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",12500,0,12500,2018
"1833","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",1500,0,1500,2018
"1834","Greyhound Lines","UK","FirstGroup PLC",17500,8500,9000,2018
"1835","Headwaters Inc","Australia","Boral Ltd",14507,1,14506,2018
"1836","Heineken USA","Netherlands","L'Arche Green NV",47750,21250,26500,2018
"1837","Herbalife Nutrition","UK","Herbalife Ltd",149219,67519,81700,2018
"1838","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",55500,16500,39000,2018
"1839","Holcim US (LafargeHolcim)","Switzerland","LaFargeHolcim",106000,29000,77000,2018
"1840","Horizon Pharma USA","Ireland","Horizon Pharma PLC",81200,42700,38500,2018
"1841","HSBC North America (HSBC Holdings)","UK","HSBC Holdings",1000,0,1000,2018
"1842","HSBC North America (HSBC Holdings)","UK","HSBC Holdings",164000,76500,87500,2018
"1843","IDEMIA Identity & Security (IDEMIA)","France","IDEMIA",30456,7500,22956,2018
"1844","IGT Global Solutions","Italy","B&D Holding Di Marco Drago e C Sapa",65500,29000,36500,2018
"1845","Infineon Technologies","Germany","Infineon Technologies AG",2000,1000,1000,2018
"1846","Ingersoll-Rand","Ireland","Ingersoll Rand Co",33500,13100,20400,2018
"1847","Intelsat Holdings (Serafina SA)","Luxembourg","Serafina SA",45500,17500,28000,2018
"1848","Intergraph Corp","Sweden","Hexagon AB",2500,0,2500,2018
"1849","ITG Brands (Imperial Brands)","UK","Imperial Brands",165500,27000,138500,2018
"1850","Jackson National Life Insurance (Prudential PLC)","UK","Prudential PLC",12000,5000,7000,2018
"1851","Jackson National Life Insurance (Prudential PLC)","UK","Prudential PLC",263489,66500,196989,2018
"1852","JBS USA","Brazil","JBS SA",46000,2000,44000,2018
"1853","John Hancock Life Insurance","Canada","Manulife Financial",118200,62000,55200,2018
"1854","Johnson Controls (Johnson Controls International)","Ireland","Johnson Controls International",240500,121000,117500,2018
"1855","Johnson Controls (Johnson Controls International)","Ireland","Johnson Controls International",1000,0,1000,2018
"1856","Kawasaki Heavy Industries","Japan","Kawasaki Heavy Industries",500,0,500,2018
"1857","Komatsu Mining","Japan","Komatsu Ltd",17760,1000,16760,2018
"1858","Lanxess Corp (Lanxess AG)","Germany","Lanxess AG",250,0,250,2018
"1859","Lehigh Hanson","Germany","HeidelbergCement AG",159000,13500,145500,2018
"1860","Leonardo DRS","Italy","Leonardo SpA",198500,60000,138500,2018
"1861","Lincare Holdings (Linde AG)","Germany","Linde AG",3000,1000,2000,2018
"1862","Linde North America (Linde AG)","Germany","Linde AG",109000,43500,65500,2018
"1863","Livanova Inc","UK","Livanova Plc",0,0,0,2018
"1864","Louis Dreyfus Co","Netherlands","Louis Dreyfus Group",13000,0,13000,2018
"1865","LSEG US","UK","London Stock Exchange Group",16500,8000,8500,2018
"1866","Lundbeck Inc","Denmark","H Lundbeck A/S",71500,33500,38000,2018
"1867","LyondellBasell Industries","Netherlands","LyondellBasell Industries",116000,18000,98000,2018
"1868","M-E Companies","Canada","IBI Group",0,0,0,2018
"1869","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",56000,25500,29500,2018
"1870","Magna US","Canada","Magna International",0,0,0,2018
"1871","Magnolia LNG","Australia","LNG Limited",4500,0,4500,2018
"1872","Mallinckrodt Pharmaceuticals","UK","Mallinckrodt Plc",265000,105000,160000,2018
"1873","Massachusetts Financial Services (Sun Life Financial)","Canada","Sun Life Financial Services",23246,10246,13000,2018
"1874","Maxar Technologies (Maxar Technologies)","Canada","Maxar Technologies",113500,34500,76500,2018
"1875","Maxar Technologies Holdings (Maxar Technologies)","Canada","Maxar Technologies",7000,4000,3000,2018
"1876","MBDA Inc","UK","MBDA",6000,0,6000,2018
"1877","Medimmune Inc (AstraZeneca PLC)","UK","AstraZeneca PLC",0,0,0,2018
"1878","Medtronic Inc","Ireland","Medtronic Plc",293000,133000,159000,2018
"1879","MillerCoors LLC (Molson Coors Brewing)","Canada","Molson Coors Brewing",163000,62000,101000,2018
"1880","Miraca Life Sciences","Japan","Miraca Holdings",0,0,0,2018
"1881","Mitsubishi Hitachi Power Systems","Japan","Mitsubishi Hitachi Power Systems",23400,0,23400,2018
"1882","Monsanto Co (Bayer AG)","Germany","Bayer AG",349500,114500,235000,2018
"1883","MUFG Americas","Japan","Mitsubishi UFJ Financial Group",2500,2500,0,2018
"1884","Munich American Reassurance","Germany","Munich Re Group",0,0,0,2018
"1885","Mylan Inc","Netherlands","Mylan NV",83000,33500,49500,2018
"1886","Nammo Talley Inc","Norway","Nammo AS",19500,4500,15000,2018
"1887","National Cement Co","France","Vicat Group",1000,0,1000,2018
"1888","National Grid USA (National Grid plc)","UK","National Grid plc",61500,45500,16000,2018
"1889","Natixis Investment Managers","France","Groupe BPCE",18500,10500,8000,2018
"1890","Nestle Purina PetCare (Nestle SA)","Switzerland","Nestle SA",23750,9750,14000,2018
"1891","Nomura Holding America","Japan","Nomura Holdings",113500,48000,65500,2018
"1892","NOVA Chemicals","United Arab Emirates","International Petroleum Investment Co",0,0,0,2018
"1893","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",293000,166000,127000,2018
"1894","Novo Nordisk","Denmark","Novo Nordisk A/S",405938,188000,217938,2018
"1895","Novocure Inc","UK","Novocure",52200,6700,45500,2018
"1896","Nutrien Ltd","Canada","Nutrien Ltd",8000,0,8000,2018
"1897","Orano USA (Orano Group)","France","Orano Group",11000,2500,8500,2018
"1898","Otsuka America (Otsuka Pharmaceutical)","Japan","Otsuka Pharmaceutical",83000,45000,38000,2018
"1899","Permobil Inc (Investor AB)","Sweden","Investor AB",8500,1000,7500,2018
"1900","Pernod Ricard USA","France","Pernod Ricard SA",23700,3000,20700,2018
"1901","Peter Pan Seafoods","Japan","Maruha Nichiro Holdings",1500,0,1500,2018
"1902","Pharmavite LLC (Otsuka Pharmaceutical)","Japan","Otsuka Pharmaceutical",81000,41000,40000,2018
"1903","Philips Electronics North America (Philips)","Netherlands","Philips",66000,33000,33000,2018
"1904","Prime Policy Group (WPP Group)","UK","WPP Group",40250,15750,24000,2018
"1905","Protective Life Corp (Dai-Ichi Life)","Japan","Dai-Ichi Life",64500,17700,46800,2018
"1906","Putnam Investments (Power Financial Corp)","Canada","Power Financial Corp",8941,0,8941,2018
"1907","RBC Bank (Royal Bank of Canada)","Canada","Royal Bank of Canada",59500,35000,24500,2018
"1908","Recurrent Energy","Canada","Canadian Solar",2000,1000,1000,2018
"1909","RELX Inc","UK","RELX Group",207600,98500,109100,2018
"1910","Renewable Energy Systems Americas","UK","Renewable Energy Systems",15051,1000,13551,2018
"1911","Resolute FP US","Canada","Resolute Forest Products",80700,12200,67500,2018
"1912","Reynolds American (British American Tobacco)","UK","British American Tobacco plc",380000,34000,346000,2018
"1913","Rio Tinto America","UK","Rio Tinto Group",12500,4500,8000,2018
"1914","Roho Group (Investor AB)","Sweden","Investor AB",500,500,0,2018
"1915","Rolls-Royce North America (Rolls-Royce PLC)","UK","Rolls-Royce PLC",303500,78500,225000,2018
"1916","Safelite Group","Belgium","D'Ieteren SA",5700,1000,4700,2018
"1917","Samsung Electronics America","South Korea","Samsung Group",143000,72500,70500,2018
"1918","Sanofi US (Sanofi)","France","Sanofi",442200,208700,233500,2018
"1919","Santander Bank (Banco Santander)","Spain","Banco Santander",24500,9500,15000,2018
"1920","SAP America","Germany","SAP SE",59000,40000,19000,2018
"1921","Schaeffler Group USA","Germany","Schaeffler Group",2500,0,2500,2018
"1922","Securitas Security Services USA","Sweden","Securitas AB",0,0,0,2018
"1923","Serco Inc","UK","Serco Group",107500,40500,67000,2018
"1924","Shell Oil","Netherlands","Royal Dutch Shell",23000,3500,19500,2018
"1925","Shire Holdings US (Shire PLC)","Ireland","Shire Plc",84000,47000,37000,2018
"1926","Siemens Corp","Germany","Siemens AG",189250,76000,113250,2018
"1927","Smith & Nephew","UK","Smith & Nephew Plc",78000,33000,45000,2018
"1928","Smithfield Foods","China","WH Group",60000,20000,40000,2018
"1929","Smiths Detection (Smiths Group)","UK","Smiths Group PLC",0,0,0,2018
"1930","Smiths Group Services Corp (Smiths Group)","UK","Smiths Group PLC",134700,36500,98200,2018
"1931","Sodexo Inc","France","Sodexo",-1000,0,-1000,2018
"1932","Solvay America","Belgium","Solvay SA",19200,8000,11200,2018
"1933","Sony Music Entertainment (Sony Corp)","Japan","Sony Corp",1000,1000,0,2018
"1934","Sony Pictures Entertainment (Sony Corp)","Japan","Sony Corp",164000,85000,79000,2018
"1935","Sprint Communications (SoftBank Corp)","Japan","Softbank Corp",184000,73500,110500,2018
"1936","SSAB Americas","Sweden","SSAB AB",13600,4500,9100,2018
"1937","Standard Insurance Co","Japan","Meiji Yasuda Life Insurance",10000,1000,7500,2018
"1938","Steris Corp","UK","Steris PLC",51000,16500,34500,2018
"1939","SUEZ Water","France","SUEZ Environnement",11000,10000,1000,2018
"1940","Sun Life Financial (Sun Life Financial)","Canada","Sun Life Financial",23600,8900,12000,2018
"1941","Sunovion Pharmaceuticals (Sumitomo Chemical)","Japan","Sumitomo Chemical",50500,26000,24500,2018
"1942","Sunpower Corp","France","Total SA",7000,2000,5000,2018
"1943","Swedish Match North America (Swedish Match AB)","Sweden","Swedish Match AB",13500,2500,11000,2018
"1944","Swiss Re America","Switzerland","Swiss Reinsurance",44000,17000,27000,2018
"1945","Syngenta Corp","China","ChemChina",125200,47500,77700,2018
"1946","T-Mobile USA","Germany","Deutsche Telekom AG",694500,314000,374500,2018
"1947","Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan","Takeda Pharmaceutical Co",143500,77500,66000,2018
"1948","Tate & Lyle Americas (Tate & Lyle)","UK","Tate & Lyle",26900,7000,19900,2018
"1949","TD Bank USA","Canada","Toronto-Dominion Bank",197500,91500,101000,2018
"1950","TE Connectivity","Switzerland","TE Connectivity",94000,34000,60000,2018
"1951","TECO Energy","Canada","Emera Inc",37500,11500,26000,2018
"1952","Terumo BCT","Japan","Terumo Corp",0,0,0,2018
"1953","Teva Pharmaceuticals USA","Israel","Teva Pharmaceutical Industries",45500,17000,28500,2018
"1954","Toyota Motor North America","Japan","Toyota Motor Corp",874999,378000,496999,2018
"1955","TransAmerica","Netherlands","Aegon NV",458500,226500,230000,2018
"1956","Transcanada USA Services (Transcanada Corp)","Canada","TransCanada Corp",149500,51500,94500,2018
"1957","Travelport Inc","UK","Travelport Ltd",1000,0,1000,2018
"1958","UBS Americas","Switzerland","UBS AG",1389750,645750,734000,2018
"1959","UCB Inc (UCB SA)","Belgium","UCB SA",41000,6000,35000,2018
"1960","Ultra Electronics USA","UK","Ultra Electronics",59000,15000,44000,2018
"1961","Universal Music Group (Vivendi)","France","Vivendi",114494,64494,50000,2018
"1962","Valent USA (Sumitomo Chemical)","Japan","Sumitomo Chemical",16000,5500,10500,2018
"1963","VNA Holding (AB Volvo)","Sweden","AB Volvo",16000,8000,8000,2018
"1964","VT Halter Marine","Singapore","ST Engineering",12500,0,12500,2018
"1965","Washington Gas Light Co (AltaGas Ltd)","Canada","AltaGas Ltd",21000,13000,8000,2018
"1966","Westfield Corp (Unibail-Rodamco-Westfield)","Australia","Westfield Group of Australia",4000,1500,2500,2018
"1967","Westinghouse Electric","Canada","Brookfield Business Partners",68500,25000,43500,2018
"1968","Wexler & Walker Public Policy Assoc (WPP Group)","UK","WPP Group",43000,15500,27500,2018
"1969","WSP USA","Canada","WSP Global",151724,86650,65074,2018
"1970","XL America","France","AXA",0,0,0,2018
"1971","ZF TRW Automotive (ZF Friedrichshafen AG)","Germany","ZF Friedrichshafen AG",30000,14000,16000,2018
"1972","Zurich Insurance (Zurich Insurance Group)","Switzerland","Zurich Insurance Group",173000,92500,80500,2018
"1973","7-Eleven","Japan","Seven & I Holdings",20000,1000,19000,2020
"1974","ABB Group (ABB Group)","Switzerland","Asea Brown Boveri",16900,6800,10100,2020
"1975","Accenture (Accenture)","Ireland","Accenture plc",83500,50500,33000,2020
"1976","Air Liquide America","France","L'Air Liquide SA",37800,15800,22000,2020
"1977","Airbus Group","Netherlands","Airbus Group",182000,79000,103000,2020
"1978","Alkermes Inc","Ireland","Alkermes Plc",94750,30750,64000,2020
"1979","Allianz of America (Allianz)","Germany","Allianz AG Holding",71300,36150,35150,2020
"1980","AMG Vanadium","Netherlands","AMG Advanced Metallurgical Group",2000,0,2000,2020
"1981","Anheuser-Busch (Anheuser-Busch InBev)","Belgium","Anheuser-Busch InBev",336500,174000,162500,2020
"1982","AON Corp (AON plc)","UK","AON PLC",80500,44000,36500,2020
"1983","APL Maritime (CMA CGM)","France","CMA CGM SA",26500,14000,12500,2020
"1984","Aptiv PLC","Ireland","Aptiv PLC",0,0,0,2020
"1985","Arcadis US (Arcadis NV)","Netherlands","Arcadis NV",0,0,0,2020
"1986","Arch Capital Group (US)","UK","Arch Capital Group",8000,4500,3500,2020
"1987","Arkema Inc","France","Arkema",69500,28000,41500,2020
"1988","Ash Grove (CRH Plc)","Ireland","CRH PLC",0,0,0,2020
"1989","Ashton Woods Homes","Canada","Great Gulf Group",0,0,0,2020
"1990","Assured Guaranty Municipal Corp (Assured Guaranty Corp)","UK","Assured Guaranty Ltd",146500,85200,56300,2020
"1991","Astellas US","Japan","Astellas Pharma",203500,98000,105500,2020
"1992","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca PLC",321500,155500,166000,2020
"1993","Atkins North America","UK","SNC-Lavalin",41750,11050,30700,2020
"1994","Austal USA (Austal Ltd)","Australia","Austal Ltd",31200,6200,25000,2020
"1995","Avangrid Inc (Iberdrola SA)","Spain","Iberdrola SA",1e+05,61000,39000,2020
"1996","Bacardi USA","UK","Bacardi Ltd",51850,22000,27850,2020
"1997","BAE Systems (BAE Systems)","UK","BAE Systems",733500,364000,367500,2020
"1998","Barclays Group US","UK","Barclays plc",159500,74000,85500,2020
"1999","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",39500,24000,15500,2020
"2000","BASF Corp","Germany","BASF SE",447000,252000,195000,2020
"2001","Bayer Corp (Bayer AG)","Germany","Bayer AG",347400,151000,196400,2020
"2002","Bayer CropScience (Bayer AG)","Germany","Bayer AG",-4500,-4500,0,2020
"2003","Beam Suntory (Suntory Holdings)","Japan","Suntory Holdings",42897,24066,18831,2020
"2004","BMO Financial Corp (Bank of Montreal)","Canada","Bank of Montreal",1500,1500,0,2020
"2005","BMO Financial Corp (Bank of Montreal)","Canada","Bank of Montreal",190260,90260,1e+05,2020
"2006","Boehringer Ingelheim Corp","Germany","CH Boehringer Sohn",187500,96000,91500,2020
"2007","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",45000,29000,16000,2020
"2008","BP North America","UK","BP PLC",236000,90000,146000,2020
"2009","Bridgestone Americas","Japan","Bridgestone Corp",21000,3500,17500,2020
"2010","Bumble Bee Foods (FCF Co)","Taiwan","FCF Co",2500,2500,0,2020
"2011","Buzzi Unicem USA (Buzzi Unicem SpA)","Italy","Buzzi Unicem SpA",500,0,500,2020
"2012","CalPortland Co","Japan","Taiheiyo Cement Co",249000,19500,229500,2020
"2013","Cardtronics Inc","UK","Cardtronics Plc",11500,7000,4500,2020
"2014","Carmeuse Lime","Netherlands","Carmeuse SA",0,0,0,2020
"2015","Case New Holland","Netherlands","CNH Industrial",122000,7000,115000,2020
"2016","CEMEX Inc","Mexico","CEMEX SAB de CV",179750,45000,134750,2020
"2017","CGI Technologies & Solutions","Canada","CGI Group",39500,31500,8000,2020
"2018","Chicago Bridge & Iron (McDermott International)","Panama","McDermott International",5470,470,5000,2020
"2019","Chubb Group of Insurance Companies","Switzerland","Chubb Ltd",213000,98000,115000,2020
"2020","CIBC Bancorp","Canada","Canadian Imperial Bank of Commerce",5000,3000,2000,2020
"2021","Cirrus Aircraft Corp","China","Aviation Industry Corp of China",1500,1500,0,2020
"2022","Continental Automotive Systems (Continental AG)","Germany","Continental AG",93000,48000,45000,2020
"2023","Covestro LLC (Covestro AG)","Germany","Covestro AG",48000,12500,35500,2020
"2024","Credit Suisse Securities","Switzerland","Credit Suisse Group",64500,22500,42000,2020
"2025","CRH Americas (CRH PLC)","Ireland","CRH PLC",566500,200500,366000,2020
"2026","CSL Behring","Australia","CSL Ltd",90600,25000,65600,2020
"2027","Daimler Trucks North America (Daimler AG)","Germany","Daimler AG",2500,0,2500,2020
"2028","Delhaize America","Belgium","Ahold Delhaize",37000,12000,25000,2020
"2029","Deutsche Bank Securities","Germany","Deutsche Bank AG",0,0,0,2020
"2030","Diageo North America (Diageo PLC)","UK","Diageo PLC",50563,29095,21468,2020
"2031","Direct Energy Inc","UK","Centrica Plc",27000,17000,10000,2020
"2032","Eaton Corp (Eaton Corp)","Ireland","Eaton Plc",51500,23000,28500,2020
"2033","EDF Renewables (EDF Group)","France","EDF Group",44000,24000,20000,2020
"2034","EDP Renewables NA","Portugal","EDP - Energias de Portugal",23000,10000,13000,2020
"2035","Eisai Inc","Japan","Eisai Co Ltd",20300,7500,12800,2020
"2036","Elbit Systems of America","Israel","Elbit Systems Ltd",55450,9100,46350,2020
"2037","Elekta Inc (Elekta AB)","Sweden","Elekta AB",73000,35500,37500,2020
"2038","Embraer Aircraft Holdings","Brazil","Embraer-Empresa Brasileira de Aeronautic",47500,13500,34000,2020
"2039","EMD Serono Inc","Germany","Merck KGaA",174500,74500,1e+05,2020
"2040","Empire District Electric (Algonquin Power & Utilities)","Canada","Algonquin Power & Utilities",13500,4000,9500,2020
"2041","Empower Retirement (Power Financial Corp)","Canada","Power Financial Corp",50500,21500,29000,2020
"2042","Enbridge Inc","Canada","Enbridge Inc",112000,31000,81000,2020
"2043","Endo Pharmaceuticals","Ireland","Endo International",165500,72000,93500,2020
"2044","ENGIE North America","France","ENGIE",11500,6000,5500,2020
"2045","Equitable Holdings (AXA)","France","AXA",152000,69500,82500,2020
"2046","Ericsson Inc","Sweden","Telefonaktiebolaget LM Ericsson",66000,33000,33000,2020
"2047","Essent US Holdings","UK","Essent Group",16500,10500,6000,2020
"2048","Experian","UK","Experian",727500,269500,458000,2020
"2049","Farmers Group (Zurich Insurance Group)","Switzerland","Zurich Financial Services AG",236500,94000,142500,2020
"2050","Fincantieri Marinette Marine","Italy","Fincantieri-Cantieri Navali Italiani SpA",24750,9500,15250,2020
"2051","Florida East Coast Industries (SoftBank Corp)","Japan","SoftBank Corp",75500,24000,51500,2020
"2052","Florida East Coast Railway (Grupo Mexico)","Mexico","Grupo Mexico",3469,3169,300,2020
"2053","Framatome (EDF Group)","France","EDF Group",66000,34000,32000,2020
"2054","Fresenius Medical Care North America","Germany","Fresenius Medical Care",496500,258000,238500,2020
"2055","G4S Secure Solutions","UK","G4S plc",45000,5000,40000,2020
"2056","Garmin International (Garmin Ltd)","Switzerland","Garmin Ltd",49000,11500,37500,2020
"2057","GE Appliances","China","Haier Group",36000,7500,28500,2020
"2058","Genentech Inc (Roche Holdings)","Switzerland","Roche Holdings",458000,228500,229500,2020
"2059","General Cigar Co","Sweden","Scandinavian Tobacco Group",2500,0,2500,2020
"2060","Gerdau Ameristeel Corp","Brazil","Gerdau Inc",4000,0,4000,2020
"2061","Glanbia Foods (Glanbia PLC)","Ireland","Glanbia PLC",0,0,0,2020
"2062","Glanbia Performance Nutrition (Glanbia PLC)","Ireland","Glanbia plc",0,0,0,2020
"2063","GlaxoSmithKline","UK","GlaxoSmithKline",199000,77000,122000,2020
"2064","Glover Park Group (WPP Group)","UK","WPP Group",135780,98780,37000,2020
"2065","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",17000,5500,11500,2020
"2066","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",0,0,0,2020
"2067","Greyhound Lines","UK","FirstGroup PLC",13000,9500,3500,2020
"2068","Hannover Life Reassurance Co","Germany","Hannover Re",5000,2500,2500,2020
"2069","Headwaters Inc","Australia","Boral Ltd",23000,4000,19000,2020
"2070","Heineken USA","Netherlands","L'Arche Green NV",47500,25500,22000,2020
"2071","Herbalife Nutrition","UK","Herbalife Ltd",104000,59000,45000,2020
"2072","Holcim US (LafargeHolcim)","Switzerland","LaFargeHolcim",57000,13500,43500,2020
"2073","Horizon Therapeutics","Ireland","Horizon Pharma PLC",156500,71500,85000,2020
"2074","HSBC North America (HSBC Holdings)","UK","HSBC Holdings",2000,0,2000,2020
"2075","HSBC North America (HSBC Holdings)","UK","HSBC Holdings",192500,89500,103000,2020
"2076","IBI Group Engineering Services","Canada","IBI Group",0,0,0,2020
"2077","IDEMIA Identity & Security (IDEMIA)","France","IDEMIA",20500,11000,9500,2020
"2078","IGT Global Solutions","Italy","B&D Holding Di Marco Drago e C Sapa",45800,27300,18500,2020
"2079","Infineon Technologies","Germany","Infineon Technologies AG",25750,16000,9750,2020
"2080","Intelsat Holdings (Serafina SA)","Luxembourg","Serafina SA",16500,8500,8000,2020
"2081","Intergraph Corp","Sweden","Hexagon AB",4800,0,4800,2020
"2082","Ipsen Biopharmaceuticals","France","Ipsen SA",0,0,0,2020
"2083","ITG Brands","UK","Imperial Brands",86500,14000,71500,2020
"2084","Jackson National Life Insurance (Prudential PLC)","UK","Prudential PLC",110500,30000,80500,2020
"2085","Jackson National Life Insurance (Prudential PLC)","UK","Prudential PLC",201000,59000,142000,2020
"2086","JBS USA","Brazil","JBS SA",125500,18000,107500,2020
"2087","John Hancock Life Insurance","Canada","Manulife Financial",100500,54500,46000,2020
"2088","Johnson Controls (Johnson Controls International)","Ireland","Johnson Controls International",276400,129400,147000,2020
"2089","Komatsu Mining","Japan","Komatsu Ltd",13500,4000,9500,2020
"2090","Lanxess Corp (Lanxess AG)","Germany","Lanxess AG",5500,3000,2500,2020
"2091","Lehigh Hanson","Germany","HeidelbergCement AG",173000,26000,147000,2020
"2092","Leonardo DRS","Italy","Leonardo SpA",222000,85000,137000,2020
"2093","Lincare Holdings (Linde plc)","UK","Linde plc",12000,1000,11000,2020
"2094","Linde North America (Linde plc)","UK","Linde plc",0,0,0,2020
"2095","Linde plc (Linde plc)","UK","Linde Plc",14000,11000,3000,2020
"2096","Livanova USA","UK","Livanova Plc",4500,0,4500,2020
"2097","Louis Dreyfus Co","Netherlands","Louis Dreyfus Group",4000,0,4000,2020
"2098","LSEG US","UK","London Stock Exchange Group",38000,25500,12500,2020
"2099","Lundbeck Inc","Denmark","H Lundbeck A/S",106000,55500,50500,2020
"2100","LyondellBasell Industries","Netherlands","LyondellBasell Industries",112000,26500,85500,2020
"2101","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",44500,27500,17000,2020
"2102","Magnolia LNG (Glenfarne Group)","Australia","Glenfarne Group",5000,0,5000,2020
"2103","Mallinckrodt Pharmaceuticals","UK","Mallinckrodt Plc",67500,18000,49500,2020
"2104","Massachusetts Financial Services (Sun Life Financial)","Canada","Sun Life Financial Services",2500,0,2500,2020
"2105","Maxar Technologies (Maxar Technologies)","Canada","Maxar Technologies",161000,80000,81000,2020
"2106","MBDA Inc","UK","MBDA",0,0,0,2020
"2107","Medtronic Inc","Ireland","Medtronic Plc",245000,142000,103000,2020
"2108","Messer North America","Germany","Messer Group",44500,21500,23000,2020
"2109","Mitsubishi Power","Japan","Mitsubishi Power",6000,1000,5000,2020
"2110","Molson Coors Beverage Co (Molson Coors Brewing)","Canada","Molson Coors Brewing",93000,30000,63000,2020
"2111","MUFG Americas","Japan","Mitsubishi UFJ Financial Group",0,0,0,2020
"2112","Munich American Reassurance","Germany","Munich Re Group",7500,5000,2500,2020
"2113","Nammo Inc (Nammo AS)","Norway","Nammo AS",2500,1250,1250,2020
"2114","Nammo Talley Inc (Nammo AS)","Norway","Nammo AS",4750,2250,2500,2020
"2115","National Grid USA (National Grid plc)","UK","National Grid plc",42000,31000,11000,2020
"2116","Natixis Investment Managers","France","Groupe BPCE",4011,1000,3011,2020
"2117","Nestle Purina PetCare (Nestle SA)","Switzerland","Nestle SA",43250,13500,29750,2020
"2118","Nomura Holding America","Japan","Nomura Holdings",102500,50000,52500,2020
"2119","NOVA Chemicals","United Arab Emirates","International Petroleum Investment Co",1200,0,1200,2020
"2120","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",290000,141000,149000,2020
"2121","Novo Nordisk","Denmark","Novo Nordisk A/S",414582,224927,189655,2020
"2122","Novocure Inc","UK","Novocure",65600,16000,49600,2020
"2123","Nutrien Ag Solutions","Canada","Nutrien Ltd",49900,23400,26500,2020
"2124","Orano USA (Orano Group)","France","Orano Group",1500,0,1500,2020
"2125","Otsuka America (Otsuka Pharmaceutical)","Japan","Otsuka Pharmaceutical",59250,34750,24500,2020
"2126","Permobil Inc (Investor AB)","Sweden","Investor AB",5000,0,5000,2020
"2127","Pernod Ricard USA","France","Pernod Ricard SA",13500,4500,9000,2020
"2128","Peter Pan Seafoods","Japan","Maruha Nichiro Holdings",4000,500,3500,2020
"2129","Pharmavite LLC (Otsuka Pharmaceutical)","Japan","Otsuka Pharmaceutical",70000,35000,35000,2020
"2130","Philips Electronics North America (Philips)","Netherlands","Philips",151000,78500,72500,2020
"2131","Prime Policy Group (WPP Group)","UK","WPP Group",56000,19000,36500,2020
"2132","Protective Life Corp (Dai-Ichi Life)","Japan","Dai-Ichi Life",199900,31000,168900,2020
"2133","Purpose Financial (Grupo Salinas)","Mexico","Grupo Salinas",42500,2000,40500,2020
"2134","Putnam Investments (Power Financial Corp)","Canada","Power Financial Corp",7388,0,7388,2020
"2135","RBC Bank (Royal Bank of Canada)","Canada","Royal Bank of Canada",60500,38500,22000,2020
